Command: /home/users7/kg867678/527LSP22/Lab10/./simv -l log10.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May 15 23:27 2022
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
Writing data..................................
Clk = 0, re_wr = 0, rst_n = 0, data =   1,  full = 0, empty = 0, data_out =   x                   0
Clk = 1, re_wr = 1, rst_n = 1, data =  38,  full = 0, empty = 0, data_out =   x                3750
Clk = 0, re_wr = 1, rst_n = 1, data =  38,  full = 0, empty = 0, data_out =   x                3800
Clk = 1, re_wr = 1, rst_n = 1, data =  39,  full = 0, empty = 0, data_out =   x                3850
Clk = 0, re_wr = 1, rst_n = 1, data =  39,  full = 0, empty = 0, data_out =   x                3900
Clk = 1, re_wr = 1, rst_n = 1, data =  40,  full = 0, empty = 0, data_out =   x                3950
Clk = 0, re_wr = 1, rst_n = 1, data =  40,  full = 0, empty = 0, data_out =   x                4000
Clk = 1, re_wr = 1, rst_n = 1, data =  41,  full = 0, empty = 0, data_out =   x                4050
Clk = 0, re_wr = 1, rst_n = 1, data =  41,  full = 0, empty = 0, data_out =   x                4100
Clk = 1, re_wr = 1, rst_n = 1, data =  42,  full = 0, empty = 0, data_out =   x                4150
Clk = 0, re_wr = 1, rst_n = 1, data =  42,  full = 0, empty = 0, data_out =   x                4200
Clk = 1, re_wr = 1, rst_n = 1, data =  43,  full = 0, empty = 0, data_out =   x                4250
Clk = 0, re_wr = 1, rst_n = 1, data =  43,  full = 0, empty = 0, data_out =   x                4300
Clk = 1, re_wr = 1, rst_n = 1, data =  44,  full = 0, empty = 0, data_out =   x                4350
Clk = 0, re_wr = 1, rst_n = 1, data =  44,  full = 0, empty = 0, data_out =   x                4400
Clk = 1, re_wr = 1, rst_n = 1, data =  45,  full = 0, empty = 0, data_out =   x                4450
Clk = 0, re_wr = 1, rst_n = 1, data =  45,  full = 0, empty = 0, data_out =   x                4500
Clk = 1, re_wr = 1, rst_n = 1, data =  46,  full = 0, empty = 0, data_out =   x                4550
Clk = 0, re_wr = 1, rst_n = 1, data =  46,  full = 0, empty = 0, data_out =   x                4600
Clk = 1, re_wr = 1, rst_n = 1, data =  47,  full = 0, empty = 0, data_out =   x                4650
Clk = 0, re_wr = 1, rst_n = 1, data =  47,  full = 0, empty = 0, data_out =   x                4700
Clk = 1, re_wr = 1, rst_n = 1, data =  48,  full = 0, empty = 0, data_out =   x                4750
Clk = 0, re_wr = 1, rst_n = 1, data =  48,  full = 0, empty = 0, data_out =   x                4800
Clk = 1, re_wr = 1, rst_n = 1, data =  49,  full = 0, empty = 0, data_out =   x                4850
Clk = 0, re_wr = 1, rst_n = 1, data =  49,  full = 0, empty = 0, data_out =   x                4900
Clk = 1, re_wr = 1, rst_n = 1, data =  50,  full = 0, empty = 0, data_out =   x                4950
Clk = 0, re_wr = 1, rst_n = 1, data =  50,  full = 0, empty = 0, data_out =   x                5000
Clk = 1, re_wr = 1, rst_n = 1, data =  51,  full = 0, empty = 0, data_out =   x                5050
Clk = 0, re_wr = 1, rst_n = 1, data =  51,  full = 0, empty = 0, data_out =   x                5100
Clk = 1, re_wr = 1, rst_n = 1, data =  52,  full = 0, empty = 0, data_out =   x                5150
Clk = 0, re_wr = 1, rst_n = 1, data =  52,  full = 0, empty = 0, data_out =   x                5200
Clk = 1, re_wr = 1, rst_n = 1, data =  53,  full = 0, empty = 0, data_out =   x                5250
Clk = 0, re_wr = 1, rst_n = 1, data =  53,  full = 0, empty = 0, data_out =   x                5300
Clk = 1, re_wr = 1, rst_n = 1, data =  54,  full = 0, empty = 0, data_out =   x                5350
Clk = 0, re_wr = 1, rst_n = 1, data =  54,  full = 0, empty = 0, data_out =   x                5400
Clk = 1, re_wr = 1, rst_n = 1, data =  55,  full = 0, empty = 0, data_out =   x                5450
Clk = 0, re_wr = 1, rst_n = 1, data =  55,  full = 0, empty = 0, data_out =   x                5500
Clk = 1, re_wr = 1, rst_n = 1, data =  56,  full = 0, empty = 0, data_out =   x                5550
Clk = 0, re_wr = 1, rst_n = 1, data =  56,  full = 0, empty = 0, data_out =   x                5600
Clk = 1, re_wr = 1, rst_n = 1, data =  57,  full = 0, empty = 0, data_out =   x                5650
Clk = 0, re_wr = 1, rst_n = 1, data =  57,  full = 0, empty = 0, data_out =   x                5700
Clk = 1, re_wr = 1, rst_n = 1, data =  58,  full = 0, empty = 0, data_out =   x                5750
Clk = 0, re_wr = 1, rst_n = 1, data =  58,  full = 0, empty = 0, data_out =   x                5800
Clk = 1, re_wr = 1, rst_n = 1, data =  59,  full = 0, empty = 0, data_out =   x                5850
Clk = 0, re_wr = 1, rst_n = 1, data =  59,  full = 0, empty = 0, data_out =   x                5900
Clk = 1, re_wr = 1, rst_n = 1, data =  60,  full = 0, empty = 0, data_out =   x                5950
Clk = 0, re_wr = 1, rst_n = 1, data =  60,  full = 0, empty = 0, data_out =   x                6000
Clk = 1, re_wr = 1, rst_n = 1, data =  61,  full = 0, empty = 0, data_out =   x                6050
Clk = 0, re_wr = 1, rst_n = 1, data =  61,  full = 0, empty = 0, data_out =   x                6100
Clk = 1, re_wr = 1, rst_n = 1, data =  62,  full = 0, empty = 0, data_out =   x                6150
Clk = 0, re_wr = 1, rst_n = 1, data =  62,  full = 0, empty = 0, data_out =   x                6200
Clk = 1, re_wr = 1, rst_n = 1, data =  63,  full = 0, empty = 0, data_out =   x                6250
Clk = 0, re_wr = 1, rst_n = 1, data =  63,  full = 0, empty = 0, data_out =   x                6300
Clk = 1, re_wr = 1, rst_n = 1, data =  64,  full = 0, empty = 0, data_out =   x                6350
Clk = 0, re_wr = 1, rst_n = 1, data =  64,  full = 0, empty = 0, data_out =   x                6400
Clk = 1, re_wr = 1, rst_n = 1, data =  65,  full = 0, empty = 0, data_out =   x                6450
Clk = 0, re_wr = 1, rst_n = 1, data =  65,  full = 0, empty = 0, data_out =   x                6500
Clk = 1, re_wr = 1, rst_n = 1, data =  66,  full = 0, empty = 0, data_out =   x                6550
Clk = 0, re_wr = 1, rst_n = 1, data =  66,  full = 0, empty = 0, data_out =   x                6600
Clk = 1, re_wr = 1, rst_n = 1, data =  67,  full = 0, empty = 0, data_out =   x                6650
Clk = 0, re_wr = 1, rst_n = 1, data =  67,  full = 0, empty = 0, data_out =   x                6700
Clk = 1, re_wr = 1, rst_n = 1, data =  68,  full = 0, empty = 0, data_out =   x                6750
Clk = 0, re_wr = 1, rst_n = 1, data =  68,  full = 0, empty = 0, data_out =   x                6800
Clk = 1, re_wr = 1, rst_n = 1, data =  69,  full = 0, empty = 0, data_out =   x                6850
Clk = 0, re_wr = 1, rst_n = 1, data =  69,  full = 0, empty = 0, data_out =   x                6900
Clk = 1, re_wr = 1, rst_n = 1, data =  70,  full = 0, empty = 0, data_out =   x                6950
Clk = 0, re_wr = 1, rst_n = 1, data =  70,  full = 0, empty = 0, data_out =   x                7000
Clk = 1, re_wr = 1, rst_n = 1, data =  71,  full = 0, empty = 0, data_out =   x                7050
Clk = 0, re_wr = 1, rst_n = 1, data =  71,  full = 0, empty = 0, data_out =   x                7100
Clk = 1, re_wr = 1, rst_n = 1, data =  72,  full = 0, empty = 0, data_out =   x                7150
Clk = 0, re_wr = 1, rst_n = 1, data =  72,  full = 0, empty = 0, data_out =   x                7200
Clk = 1, re_wr = 1, rst_n = 1, data =  73,  full = 0, empty = 0, data_out =   x                7250
Clk = 0, re_wr = 1, rst_n = 1, data =  73,  full = 0, empty = 0, data_out =   x                7300
Clk = 1, re_wr = 1, rst_n = 1, data =  74,  full = 0, empty = 0, data_out =   x                7350
Clk = 0, re_wr = 1, rst_n = 1, data =  74,  full = 0, empty = 0, data_out =   x                7400
Clk = 1, re_wr = 1, rst_n = 1, data =  75,  full = 0, empty = 0, data_out =   x                7450
Clk = 0, re_wr = 1, rst_n = 1, data =  75,  full = 0, empty = 0, data_out =   x                7500
Clk = 1, re_wr = 1, rst_n = 1, data =  76,  full = 0, empty = 0, data_out =   x                7550
Clk = 0, re_wr = 1, rst_n = 1, data =  76,  full = 0, empty = 0, data_out =   x                7600
Clk = 1, re_wr = 1, rst_n = 1, data =  77,  full = 0, empty = 0, data_out =   x                7650
Clk = 0, re_wr = 1, rst_n = 1, data =  77,  full = 0, empty = 0, data_out =   x                7700
Clk = 1, re_wr = 1, rst_n = 1, data =  78,  full = 0, empty = 0, data_out =   x                7750
Clk = 0, re_wr = 1, rst_n = 1, data =  78,  full = 0, empty = 0, data_out =   x                7800
Clk = 1, re_wr = 1, rst_n = 1, data =  79,  full = 0, empty = 0, data_out =   x                7850
Clk = 0, re_wr = 1, rst_n = 1, data =  79,  full = 0, empty = 0, data_out =   x                7900
Clk = 1, re_wr = 1, rst_n = 1, data =  80,  full = 0, empty = 0, data_out =   x                7950
Clk = 0, re_wr = 1, rst_n = 1, data =  80,  full = 0, empty = 0, data_out =   x                8000
Clk = 1, re_wr = 1, rst_n = 1, data =  81,  full = 0, empty = 0, data_out =   x                8050
Clk = 0, re_wr = 1, rst_n = 1, data =  81,  full = 0, empty = 0, data_out =   x                8100
Clk = 1, re_wr = 1, rst_n = 1, data =  82,  full = 0, empty = 0, data_out =   x                8150
Clk = 0, re_wr = 1, rst_n = 1, data =  82,  full = 0, empty = 0, data_out =   x                8200
Clk = 1, re_wr = 1, rst_n = 1, data =  83,  full = 0, empty = 0, data_out =   x                8250
Clk = 0, re_wr = 1, rst_n = 1, data =  83,  full = 0, empty = 0, data_out =   x                8300
Clk = 1, re_wr = 1, rst_n = 1, data =  84,  full = 0, empty = 0, data_out =   x                8350
Clk = 0, re_wr = 1, rst_n = 1, data =  84,  full = 0, empty = 0, data_out =   x                8400
Clk = 1, re_wr = 1, rst_n = 1, data =  85,  full = 0, empty = 0, data_out =   x                8450
Clk = 0, re_wr = 1, rst_n = 1, data =  85,  full = 0, empty = 0, data_out =   x                8500
Clk = 1, re_wr = 1, rst_n = 1, data =  86,  full = 0, empty = 0, data_out =   x                8550
Clk = 0, re_wr = 1, rst_n = 1, data =  86,  full = 0, empty = 0, data_out =   x                8600
Clk = 1, re_wr = 1, rst_n = 1, data =  87,  full = 0, empty = 0, data_out =   x                8650
Clk = 0, re_wr = 1, rst_n = 1, data =  87,  full = 0, empty = 0, data_out =   x                8700
Clk = 1, re_wr = 1, rst_n = 1, data =  88,  full = 0, empty = 0, data_out =   x                8750
Clk = 0, re_wr = 1, rst_n = 1, data =  88,  full = 0, empty = 0, data_out =   x                8800
Clk = 1, re_wr = 1, rst_n = 1, data =  89,  full = 0, empty = 0, data_out =   x                8850
Clk = 0, re_wr = 1, rst_n = 1, data =  89,  full = 0, empty = 0, data_out =   x                8900
Clk = 1, re_wr = 1, rst_n = 1, data =  90,  full = 0, empty = 0, data_out =   x                8950
Clk = 0, re_wr = 1, rst_n = 1, data =  90,  full = 0, empty = 0, data_out =   x                9000
Clk = 1, re_wr = 1, rst_n = 1, data =  91,  full = 0, empty = 0, data_out =   x                9050
Clk = 0, re_wr = 1, rst_n = 1, data =  91,  full = 0, empty = 0, data_out =   x                9100
Clk = 1, re_wr = 1, rst_n = 1, data =  92,  full = 0, empty = 0, data_out =   x                9150
Clk = 0, re_wr = 1, rst_n = 1, data =  92,  full = 0, empty = 0, data_out =   x                9200
Clk = 1, re_wr = 1, rst_n = 1, data =  93,  full = 0, empty = 0, data_out =   x                9250
Clk = 0, re_wr = 1, rst_n = 1, data =  93,  full = 0, empty = 0, data_out =   x                9300
Clk = 1, re_wr = 1, rst_n = 1, data =  94,  full = 0, empty = 0, data_out =   x                9350
Clk = 0, re_wr = 1, rst_n = 1, data =  94,  full = 0, empty = 0, data_out =   x                9400
Clk = 1, re_wr = 1, rst_n = 1, data =  95,  full = 0, empty = 0, data_out =   x                9450
Clk = 0, re_wr = 1, rst_n = 1, data =  95,  full = 0, empty = 0, data_out =   x                9500
Clk = 1, re_wr = 1, rst_n = 1, data =  96,  full = 0, empty = 0, data_out =   x                9550
Clk = 0, re_wr = 1, rst_n = 1, data =  96,  full = 0, empty = 0, data_out =   x                9600
Clk = 1, re_wr = 1, rst_n = 1, data =  97,  full = 0, empty = 0, data_out =   x                9650
Clk = 0, re_wr = 1, rst_n = 1, data =  97,  full = 0, empty = 0, data_out =   x                9700
Clk = 1, re_wr = 1, rst_n = 1, data =  98,  full = 0, empty = 0, data_out =   x                9750
Clk = 0, re_wr = 1, rst_n = 1, data =  98,  full = 0, empty = 0, data_out =   x                9800
Clk = 1, re_wr = 1, rst_n = 1, data =  99,  full = 0, empty = 0, data_out =   x                9850
Clk = 0, re_wr = 1, rst_n = 1, data =  99,  full = 0, empty = 0, data_out =   x                9900
Clk = 1, re_wr = 1, rst_n = 1, data = 100,  full = 0, empty = 0, data_out =   x                9950
Clk = 0, re_wr = 1, rst_n = 1, data = 100,  full = 0, empty = 0, data_out =   x               10000
Clk = 1, re_wr = 1, rst_n = 1, data = 101,  full = 0, empty = 0, data_out =   x               10050
Clk = 0, re_wr = 1, rst_n = 1, data = 101,  full = 0, empty = 0, data_out =   x               10100
Clk = 1, re_wr = 1, rst_n = 1, data = 102,  full = 0, empty = 0, data_out =   x               10150
Clk = 0, re_wr = 1, rst_n = 1, data = 102,  full = 0, empty = 0, data_out =   x               10200
Clk = 1, re_wr = 1, rst_n = 1, data = 103,  full = 0, empty = 0, data_out =   x               10250
Clk = 0, re_wr = 1, rst_n = 1, data = 103,  full = 0, empty = 0, data_out =   x               10300
Clk = 1, re_wr = 1, rst_n = 1, data = 104,  full = 0, empty = 0, data_out =   x               10350
Clk = 0, re_wr = 1, rst_n = 1, data = 104,  full = 0, empty = 0, data_out =   x               10400
Clk = 1, re_wr = 1, rst_n = 1, data = 105,  full = 0, empty = 0, data_out =   x               10450
Clk = 0, re_wr = 1, rst_n = 1, data = 105,  full = 0, empty = 0, data_out =   x               10500
Clk = 1, re_wr = 1, rst_n = 1, data = 106,  full = 0, empty = 0, data_out =   x               10550
Clk = 0, re_wr = 1, rst_n = 1, data = 106,  full = 0, empty = 0, data_out =   x               10600
Clk = 1, re_wr = 1, rst_n = 1, data = 107,  full = 0, empty = 0, data_out =   x               10650
Clk = 0, re_wr = 1, rst_n = 1, data = 107,  full = 0, empty = 0, data_out =   x               10700
Clk = 1, re_wr = 1, rst_n = 1, data = 108,  full = 0, empty = 0, data_out =   x               10750
Clk = 0, re_wr = 1, rst_n = 1, data = 108,  full = 0, empty = 0, data_out =   x               10800
Clk = 1, re_wr = 1, rst_n = 1, data = 109,  full = 0, empty = 0, data_out =   x               10850
Clk = 0, re_wr = 1, rst_n = 1, data = 109,  full = 0, empty = 0, data_out =   x               10900
Clk = 1, re_wr = 1, rst_n = 1, data = 110,  full = 0, empty = 0, data_out =   x               10950
Clk = 0, re_wr = 1, rst_n = 1, data = 110,  full = 0, empty = 0, data_out =   x               11000
Clk = 1, re_wr = 1, rst_n = 1, data = 111,  full = 0, empty = 0, data_out =   x               11050
Clk = 0, re_wr = 1, rst_n = 1, data = 111,  full = 0, empty = 0, data_out =   x               11100
Clk = 1, re_wr = 1, rst_n = 1, data = 112,  full = 0, empty = 0, data_out =   x               11150
Clk = 0, re_wr = 1, rst_n = 1, data = 112,  full = 0, empty = 0, data_out =   x               11200
Clk = 1, re_wr = 1, rst_n = 1, data = 113,  full = 0, empty = 0, data_out =   x               11250
Clk = 0, re_wr = 1, rst_n = 1, data = 113,  full = 0, empty = 0, data_out =   x               11300
Clk = 1, re_wr = 1, rst_n = 1, data = 114,  full = 0, empty = 0, data_out =   x               11350
Clk = 0, re_wr = 1, rst_n = 1, data = 114,  full = 0, empty = 0, data_out =   x               11400
Clk = 1, re_wr = 1, rst_n = 1, data = 115,  full = 0, empty = 0, data_out =   x               11450
Clk = 0, re_wr = 1, rst_n = 1, data = 115,  full = 0, empty = 0, data_out =   x               11500
Clk = 1, re_wr = 1, rst_n = 1, data = 116,  full = 0, empty = 0, data_out =   x               11550
Clk = 0, re_wr = 1, rst_n = 1, data = 116,  full = 0, empty = 0, data_out =   x               11600
Clk = 1, re_wr = 1, rst_n = 1, data = 117,  full = 0, empty = 0, data_out =   x               11650
Clk = 0, re_wr = 1, rst_n = 1, data = 117,  full = 0, empty = 0, data_out =   x               11700
Clk = 1, re_wr = 1, rst_n = 1, data = 118,  full = 0, empty = 0, data_out =   x               11750
Clk = 0, re_wr = 1, rst_n = 1, data = 118,  full = 0, empty = 0, data_out =   x               11800
Clk = 1, re_wr = 1, rst_n = 1, data = 119,  full = 0, empty = 0, data_out =   x               11850
Clk = 0, re_wr = 1, rst_n = 1, data = 119,  full = 0, empty = 0, data_out =   x               11900
Clk = 1, re_wr = 1, rst_n = 1, data = 120,  full = 0, empty = 0, data_out =   x               11950
Clk = 0, re_wr = 1, rst_n = 1, data = 120,  full = 0, empty = 0, data_out =   x               12000
Clk = 1, re_wr = 1, rst_n = 1, data = 121,  full = 0, empty = 0, data_out =   x               12050
Clk = 0, re_wr = 1, rst_n = 1, data = 121,  full = 0, empty = 0, data_out =   x               12100
Clk = 1, re_wr = 1, rst_n = 1, data = 122,  full = 0, empty = 0, data_out =   x               12150
Clk = 0, re_wr = 1, rst_n = 1, data = 122,  full = 0, empty = 0, data_out =   x               12200
Clk = 1, re_wr = 1, rst_n = 1, data = 123,  full = 0, empty = 0, data_out =   x               12250
Clk = 0, re_wr = 1, rst_n = 1, data = 123,  full = 0, empty = 0, data_out =   x               12300
Clk = 1, re_wr = 1, rst_n = 1, data = 124,  full = 0, empty = 0, data_out =   x               12350
Clk = 0, re_wr = 1, rst_n = 1, data = 124,  full = 0, empty = 0, data_out =   x               12400
Clk = 1, re_wr = 1, rst_n = 1, data = 125,  full = 0, empty = 0, data_out =   x               12450
Clk = 0, re_wr = 1, rst_n = 1, data = 125,  full = 0, empty = 0, data_out =   x               12500
Clk = 1, re_wr = 1, rst_n = 1, data = 126,  full = 0, empty = 0, data_out =   x               12550
Clk = 0, re_wr = 1, rst_n = 1, data = 126,  full = 0, empty = 0, data_out =   x               12600
Clk = 1, re_wr = 1, rst_n = 1, data = 127,  full = 0, empty = 0, data_out =   x               12650
Clk = 0, re_wr = 1, rst_n = 1, data = 127,  full = 0, empty = 0, data_out =   x               12700
Clk = 1, re_wr = 1, rst_n = 1, data = 128,  full = 0, empty = 0, data_out =   x               12750
Clk = 0, re_wr = 1, rst_n = 1, data = 128,  full = 0, empty = 0, data_out =   x               12800
Clk = 1, re_wr = 1, rst_n = 1, data = 129,  full = 0, empty = 0, data_out =   x               12850
Clk = 0, re_wr = 1, rst_n = 1, data = 129,  full = 0, empty = 0, data_out =   x               12900
Clk = 1, re_wr = 1, rst_n = 1, data = 130,  full = 0, empty = 0, data_out =   x               12950
Clk = 0, re_wr = 1, rst_n = 1, data = 130,  full = 0, empty = 0, data_out =   x               13000
Clk = 1, re_wr = 1, rst_n = 1, data = 131,  full = 0, empty = 0, data_out =   x               13050
Clk = 0, re_wr = 1, rst_n = 1, data = 131,  full = 0, empty = 0, data_out =   x               13100
Clk = 1, re_wr = 1, rst_n = 1, data = 132,  full = 0, empty = 0, data_out =   x               13150
Clk = 0, re_wr = 1, rst_n = 1, data = 132,  full = 0, empty = 0, data_out =   x               13200
Clk = 1, re_wr = 1, rst_n = 1, data = 133,  full = 0, empty = 0, data_out =   x               13250
Clk = 0, re_wr = 1, rst_n = 1, data = 133,  full = 0, empty = 0, data_out =   x               13300
Clk = 1, re_wr = 1, rst_n = 1, data = 134,  full = 0, empty = 0, data_out =   x               13350
Clk = 0, re_wr = 1, rst_n = 1, data = 134,  full = 0, empty = 0, data_out =   x               13400
Clk = 1, re_wr = 1, rst_n = 1, data = 135,  full = 0, empty = 0, data_out =   x               13450
Clk = 0, re_wr = 1, rst_n = 1, data = 135,  full = 0, empty = 0, data_out =   x               13500
